seed,mean_axial_phase_order,mean_phase_family_separation_rad,mean_phase_family_separation_over_pi,phase_label_vs_tangential_direction_agreement,mean_interstream_spatial_shift_in_lattice_periods
1,0.9689008234432858,3.135499314818946,0.9980604300293723,1.0,0.25081432883008165
9,0.9720933783653263,3.13565769220549,0.9981108431172573,1.0,0.2507417470209474
17,0.970293450181566,3.1367416603301965,0.9984558808876595,1.0,0.24924788519850888
