d0,bulk_k_star,bulk_k_star_times_d0,bulk_lambda_star,bulk_lambda_over_d0,growth_coefficient
0.75,6.819357554235074,5.114518165676305,0.9213749619680075,1.2284999492906767,2.5007064353214257
1.0,5.123391888256084,5.123391888256084,1.2263721855011713,1.2263721855011713,2.5620344697135704
1.25,4.102153983481981,5.127692479352476,1.5316795353075234,1.2253436282460188,2.591486554182626
