d0,diameter,diameter_over_d0,seed,fourier_mode_terminal,peak_count_terminal,dbscan_count_terminal,observed_mode,temporal_mode_median,fourier_amplitude_terminal,temporal_amplitude_median,temporal_mode_stability,shell_particle_fraction,lattice_formed,heading_handedness_terminal,effective_radius,wall_distance_of_clusters,effective_wavenumber,effective_arc_spacing,geometric_chord_spacing,actual_chord_mean,actual_chord_std,arc_over_d0,geometric_chord_over_d0,actual_chord_over_d0,wall_distance_over_d0,fourier_locking_time_10_frames,fourier_lock_persistent_to_end,source_file,bulk_quantized_mode,observed_minus_bulk_mode,protocol,nominal_diameter_over_d0
1.0,3.3,3.3,10,10,10,10,10,10,0.9984103149963816,0.9984077884105573,1.0,1.0,True,1.0,1.6256622740006743,0.0243377259993256,6.15133915569714,1.0214337314437192,1.0047145395608612,1.0048321043250603,0.0095124316375392,1.0214337314437192,1.0047145395608612,1.0048321043250603,0.0243377259993256,40.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",8,2,similarity_scaled,3.3
1.0,3.3,3.3,11,10,10,10,10,10,0.9984407025413911,0.9983569187979164,1.0,0.9995,True,1.0,1.6248029928374201,0.025197007162579776,6.154592306933677,1.0208938291657497,1.0041834745960776,1.004196314054118,0.004950729868395916,1.0208938291657497,1.0041834745960776,1.004196314054118,0.025197007162579776,42.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",8,2,similarity_scaled,3.3
1.0,4.58,4.58,9,14,14,14,14,14,0.9975687759944263,0.9975390104113704,1.0,0.9945,True,1.0,2.264284327580221,0.0257156724197789,6.182969086290244,1.0162084298806469,1.0077013266315922,1.007703789592049,0.003781762571671853,1.0162084298806469,1.0077013266315922,1.007703789592049,0.0257156724197789,47.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",12,2,similarity_scaled,4.58
1.0,4.58,4.58,9,14,14,14,14,14,0.9975687759944263,0.9975390104113704,1.0,0.9945,True,1.0,2.264284327580221,0.0257156724197789,6.182969086290244,1.0162084298806469,1.0077013266315922,1.007703789592049,0.003781762571671853,1.0162084298806469,1.0077013266315922,1.007703789592049,0.0257156724197789,47.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",12,2,fixed_diameter,
1.0,4.58,4.58,10,14,14,14,14,14,0.9961529404594752,0.9960622301590458,1.0,0.9965,True,1.0,2.2634632118152855,0.0265367881847145,6.185212079842938,1.0158399139870942,1.007335895737793,1.0073358897668618,0.005227585383449088,1.0158399139870942,1.007335895737793,1.0073358897668618,0.0265367881847145,50.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",12,2,similarity_scaled,4.58
1.0,4.58,4.58,10,14,14,14,14,14,0.9961529404594752,0.9960622301590458,1.0,0.9965,True,1.0,2.2634632118152855,0.0265367881847145,6.185212079842938,1.0158399139870942,1.007335895737793,1.0073358897668618,0.005227585383449088,1.0158399139870942,1.007335895737793,1.0073358897668618,0.0265367881847145,50.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",12,2,fixed_diameter,
1.0,4.58,4.58,11,14,14,14,14,14,0.9963453508820732,0.996194552999122,1.0,0.9965,True,1.0,2.263873485632055,0.02612651436794522,6.184091155646587,1.016024044445483,1.0075184847635634,1.0075159839312204,0.004503082072174078,1.016024044445483,1.0075184847635634,1.0075159839312204,0.02612651436794522,50.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",12,2,similarity_scaled,4.58
1.0,4.58,4.58,11,14,14,14,14,14,0.9963453508820732,0.996194552999122,1.0,0.9965,True,1.0,2.263873485632055,0.02612651436794522,6.184091155646587,1.016024044445483,1.0075184847635634,1.0075159839312204,0.004503082072174078,1.016024044445483,1.0075184847635634,1.0075159839312204,0.02612651436794522,50.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",12,2,fixed_diameter,
1.25,4.125,3.3,9,10,10,10,10,10,0.9987458101117318,0.9987628801002641,1.0,0.998,True,1.0,2.0365615574433567,0.02593844255664335,4.910237043143309,1.2796093654894873,1.2586642626814157,1.258672004197169,0.0039817175717260685,1.02368749239159,1.0069314101451325,1.0069376033577353,0.02075075404531468,40.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.1,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",8,2,similarity_scaled,3.3
1.25,4.125,3.3,10,10,10,10,10,10,0.9977566081667769,0.9977730022563127,1.0,0.998,True,1.0,2.0366833520934753,0.025816647906524715,4.909943408591794,1.2796858913250992,1.258739535914837,1.2587305649598906,0.0048583837246665516,1.0237487130600793,1.0069916287318696,1.0069844519679125,0.02065331832521977,47.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.1,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",8,2,similarity_scaled,3.3
1.25,4.125,3.3,11,10,10,10,10,10,0.9988844630406367,0.9988159958871996,1.0,1.0,True,1.0,2.036095586506709,0.026404413493291035,4.9113607761199525,1.2793165873152155,1.258376276804798,1.2583779434737652,0.0032324056928211085,1.0234532698521723,1.0067010214438383,1.0067023547790122,0.021123530794632826,197.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.1,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",8,2,similarity_scaled,3.3
1.25,4.58,3.664,9,3,3,0,3,3,0.44829830761082784,0.3233958636193277,0.7,0.053,False,0.7391304347826086,2.1525004635249076,0.1374995364750924,1.3937279228675463,4.50818642870565,3.728240166140699,,,3.60654914296452,2.982592132912559,,0.10999962918007392,,False,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",9,-6,fixed_diameter,
1.25,4.58,3.664,10,11,11,11,11,11,0.9985755202674101,0.9981358557672445,1.0,0.9965,True,1.0,2.261473479161168,0.028526520838831892,4.8640853414209175,1.2917506306219775,1.274261411026319,1.2742714668726467,0.002142054690048347,1.033400504497582,1.0194091288210552,1.0194171734981174,0.022821216671065514,55.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",9,2,fixed_diameter,
1.25,4.58,3.664,11,11,11,11,11,11,0.9978370110551952,0.9978696134487075,1.0,0.995,True,1.0,2.262718506722478,0.02728149327752183,4.861408950039205,1.2924617887020007,1.274962940622691,1.274963235630292,0.003913632652883699,1.0339694309616005,1.0199703524981527,1.0199705885042336,0.021825194622017464,47.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",9,2,fixed_diameter,
1.25,5.725,4.58,9,14,14,14,14,14,0.9993845215920841,0.9991389314645001,1.0,0.9935,True,1.0,2.8360850500967674,0.026414949903232454,4.9363822849820105,1.272831994048549,1.2621765882541467,1.2621802824935828,0.002252401214466875,1.0182655952388393,1.0097412706033173,1.0097442259948664,0.021131959922585965,52.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=5.7,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",12,2,similarity_scaled,4.58
1.25,5.725,4.58,10,14,14,14,14,14,0.9993078691037229,0.9990031356381912,1.0,0.9925,True,1.0,2.8360979190690463,0.02640208093095353,4.936359885837624,1.2728377696298023,1.2621823154856078,1.2621866583081178,0.0024361775599778444,1.018270215703842,1.0097458523884861,1.0097493266464943,0.021121664744762826,47.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=5.7,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",12,2,similarity_scaled,4.58
1.25,5.725,4.58,11,14,14,14,14,14,0.999331685311243,0.999278959537045,1.0,0.9935,True,1.0,2.83605741991693,0.026442580083069878,4.936430377495696,1.2728195936528357,1.262164291667301,1.2621682935838214,0.002657517310855319,1.0182556749222686,1.0097314333338407,1.009734634867057,0.021154064066455903,50.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.250,A0=1.571,L=5.7,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",12,2,similarity_scaled,4.58
