protocol,diameter,seed,initial_mode,initial_cluster_count,terminal_cluster_count,initial_chord,terminal_chord,initial_mode_amplitude,terminal_mode_amplitude,radius_ratio_terminal,radius_cv_initial,radius_cv_terminal,tangential_coherence_initial,tangential_coherence_terminal,radial_signed_initial,radial_signed_terminal,carrier_fraction_initial,fraction_inside_original_circle_terminal,carrier_fraction_inside_original_circle_terminal,center_displacement_terminal,polarization_terminal
removed,3.0,9,9,9.0,5.0,0.9952232886456821,5.967373505034148,0.995300270962592,0.2743674656451244,30.455590178533154,0.01798697491466908,1.4008667443180602,0.9480481326511117,0.16382702289058057,0.02498828389313472,0.3400041414377118,1.0,0.2065,0.2065,18.890538301945018,0.2649464286962205
removed,3.0,11,9,9.0,7.0,0.9951170439782884,4.623367242048473,0.9974593905290976,0.3945536579087879,24.200775704583872,0.017182237007742636,2.0144206945903798,0.944696596282809,0.07921238388100078,0.020708208745544073,0.2978401990180447,1.0,0.1645,0.1645,3.196417623783069,0.030710569395325887
removed,5.0,9,15,15.0,7.0,1.0175646862627756,4.010246442637751,0.9962448069520359,0.1551097383987405,16.271885379741175,0.012009892641866452,1.5573281218284059,0.9765315260002171,0.11182137642853829,0.0014190437589880736,0.16915143388844056,0.997,0.104,0.10431293881644935,14.702727991694704,0.20462384618793522
removed,5.0,10,15,15.0,5.0,1.0178947028339624,4.758934774579277,0.9960493038904508,0.16494177207315003,19.245479298961584,0.012455080862837817,1.6143441697922167,0.9748963170300042,0.13557410622217317,0.01794499211834851,0.1924934369336345,0.7695,0.108,0.1397011046133853,6.4102209812131585,0.0031564526056615818
retained,3.0,9,9,9.0,9.0,0.9952232886456821,0.9952522142750581,0.995300270962592,0.9965222754621802,1.0000918116515252,0.01798697491466908,0.017956673665393486,0.9480481326511117,0.9482652573088021,0.02498828389313472,0.0036101206014006967,1.0,1.0,1.0,0.002427461558475075,0.05357239263031407
retained,3.0,11,9,9.0,9.0,0.9951170439782884,0.9941183038025372,0.9974593905290976,0.9973456825356949,0.9989818752316312,0.017182237007742636,0.017223109593327474,0.944696596282809,0.9475641724371431,0.020708208745544073,0.0038203750277571212,1.0,1.0,1.0,0.0061881951529858086,0.028012628184356844
retained,5.0,9,15,15.0,15.0,1.0175646862627756,1.0185705813976897,0.9962448069520359,0.9983885772104009,1.000986298565462,0.012009892641866452,0.011822053007682796,0.9765315260002171,0.9765315514019147,0.0014190437589880736,-0.0010621234857038921,0.997,1.0,1.0,0.0017105065647474002,0.011014671948776821
retained,5.0,10,15,15.0,15.0,1.0178947028339624,1.0179269398263044,0.9960493038904508,0.9976543729442907,0.9999633733046415,0.012455080862837817,0.012089932913199446,0.9748963170300042,0.9773824953864071,0.01794499211834851,0.005774418726385825,0.7695,1.0,1.0,0.004765214814087539,0.03749133324782509
