frame,time,dominant_mode,dominant_amplitude,target_amplitude,shell_fraction,handedness
0,0.0,5,0.884400474120842,0.8844004741208428,1.0,1.0
1,0.5,5,0.8844637759678274,0.8844637759678292,1.0,1.0
2,1.0,5,0.8847280278286674,0.8847280278286671,1.0,1.0
3,1.5,5,0.8851144356689744,0.8851144356689754,1.0,1.0
4,2.0,5,0.8855259756449763,0.8855259756449756,1.0,1.0
5,2.5,5,0.8859977397883085,0.8859977397883094,0.998,1.0
6,3.0,5,0.8863953038805717,0.886395303880572,0.9985,1.0
7,3.5,5,0.8868413300779813,0.8868413300779808,0.997,1.0
8,4.0,5,0.8874082009154347,0.8874082009154344,0.997,1.0
9,4.5,5,0.8882264060597984,0.888226406059798,0.9935,1.0
10,5.0,5,0.8886645817799776,0.8886645817799786,0.9925,1.0
11,5.5,5,0.8878086734385884,0.8878086734385878,0.9885,1.0
12,6.0,5,0.8883254026466648,0.8883254026466663,0.985,1.0
13,6.5,5,0.8884658376224484,0.8884658376224457,0.984,0.9989827060020345
14,7.0,5,0.8890867385032567,0.8890867385032577,0.981,1.0
15,7.5,5,0.8894704317707817,0.8894704317707818,0.9775,1.0
16,8.0,5,0.8891799822486484,0.8891799822486472,0.9765,0.9979518689196109
17,8.5,5,0.8899421514740522,0.8899421514740528,0.9755,0.9958995386981035
18,9.0,5,0.8892855337625063,0.8892855337625049,0.973,0.9989701338825953
19,9.5,5,0.8885048031114947,0.8885048031114964,0.9725,0.9979423868312757
20,10.0,5,0.8900695975271476,0.8900695975271458,0.9715,0.9979381443298969
21,10.5,5,0.8872838930347297,0.8872838930347281,0.9725,0.9969119917653114
22,11.0,5,0.8887358324602698,0.8887358324602688,0.9705,0.9989690721649485
23,11.5,5,0.8883122836064704,0.8883122836064701,0.97,0.9979370809695719
24,12.0,5,0.8836643798351438,0.8836643798351437,0.973,0.9969167523124358
25,12.5,5,0.8836272642736425,0.8836272642736425,0.9715,0.9979402677651905
26,13.0,5,0.8836285963425133,0.883628596342513,0.9705,1.0
27,13.5,5,0.8807639630073892,0.8807639630073896,0.9745,0.9948691636736788
28,14.0,5,0.8801546450401492,0.8801546450401481,0.9765,0.9969262295081968
29,14.5,5,0.879679667940258,0.8796796679402572,0.9785,0.9959079283887468
30,15.0,5,0.880330619607989,0.8803306196079893,0.9775,0.9989764585465711
31,15.5,5,0.8782619453935019,0.8782619453935021,0.979,1.0
32,16.0,5,0.8770210043940445,0.8770210043940453,0.982,0.9969450101832994
33,16.5,5,0.8767408602607784,0.8767408602607784,0.982,1.0
34,17.0,5,0.8754616477499167,0.8754616477499167,0.9815,1.0
35,17.5,5,0.8744751513264419,0.8744751513264419,0.983,1.0
36,18.0,5,0.8747967273655548,0.8747967273655538,0.985,1.0
37,18.5,5,0.8744272439864398,0.87442724398644,0.988,0.9979757085020243
38,19.0,5,0.8740172497620505,0.8740172497620513,0.987,1.0
39,19.5,5,0.8734313554197014,0.8734313554197021,0.989,0.9979767324228629
40,20.0,5,0.8742684975321535,0.874268497532153,0.989,0.9989888776541962
41,20.5,5,0.8747472321182295,0.8747472321182299,0.9905,1.0
42,21.0,5,0.8743083303966287,0.8743083303966293,0.9925,0.998992443324937
43,21.5,5,0.873742529395219,0.8737425293952191,0.9935,0.9989934574735783
44,22.0,5,0.873311665021007,0.8733116650210071,0.9945,1.0
45,22.5,5,0.8748444029627027,0.8748444029627035,0.994,1.0
46,23.0,5,0.8758275867749137,0.8758275867749128,0.9945,1.0
47,23.5,5,0.8759176420140978,0.8759176420140983,0.996,1.0
48,24.0,5,0.875472764312995,0.8754727643129946,0.997,1.0
49,24.5,5,0.8752940728171585,0.8752940728171581,0.998,0.998997995991984
50,25.0,5,0.8762630366608272,0.8762630366608285,0.9985,1.0
51,25.5,5,0.8778446294153215,0.8778446294153216,0.997,1.0
52,26.0,5,0.8786308883940283,0.8786308883940283,0.996,1.0
53,26.5,5,0.8800995434941954,0.8800995434941963,0.996,1.0
54,27.0,5,0.8811188759012435,0.8811188759012439,0.9965,0.998995983935743
55,27.5,5,0.882704133866626,0.8827041338666254,0.996,1.0
56,28.0,5,0.8838189131054033,0.8838189131054026,0.996,1.0
57,28.5,5,0.8854462971823688,0.8854462971823701,0.994,1.0
58,29.0,5,0.8866328990876572,0.8866328990876563,0.9915,1.0
59,29.5,5,0.8878278014770671,0.887827801477068,0.9925,0.998991935483871
60,30.0,5,0.8879022732750954,0.8879022732750964,0.991,0.9989904088844018
61,30.5,5,0.8889684542204521,0.8889684542204518,0.987,1.0
62,31.0,5,0.8885888191754017,0.8885888191754021,0.9855,0.9969543147208122
63,31.5,5,0.8883958305711107,0.8883958305711117,0.984,1.0
64,32.0,5,0.8880710991540707,0.8880710991540702,0.983,0.9979633401221996
65,32.5,5,0.888334441854227,0.8883344418542263,0.98,0.9989795918367347
66,33.0,5,0.8862531431452306,0.8862531431452321,0.9785,0.9969278033794163
67,33.5,5,0.8836293867278315,0.8836293867278308,0.9735,1.0
68,34.0,5,0.8808108817617998,0.880810881761798,0.9725,0.9969135802469136
69,34.5,5,0.8783177283144128,0.8783177283144126,0.9735,0.998972250770812
70,35.0,5,0.8745998769103737,0.8745998769103736,0.9685,0.993801652892562
71,35.5,5,0.8709706143200595,0.870970614320061,0.9695,0.9937920331091568
72,36.0,5,0.8709913074441721,0.8709913074441727,0.9665,0.9989653388515262
