frame,time,dominant_mode,dominant_amplitude,target_amplitude,shell_fraction,handedness
0,0.0,21,0.8205750452786217,0.8205750452786214,1.0,1.0
1,0.5,21,0.8203136079042593,0.8203136079042614,1.0,1.0
2,1.0,21,0.8169945353699576,0.8169945353699584,1.0,1.0
3,1.5,21,0.8156645905591086,0.8156645905591094,1.0,1.0
4,2.0,21,0.8118470360413935,0.8118470360413921,0.9995,1.0
5,2.5,21,0.8026219863794216,0.8026219863794215,0.998,1.0
6,3.0,21,0.7901422968648331,0.7901422968648337,0.9955,1.0
7,3.5,21,0.7688552434721201,0.7688552434721203,0.9945,1.0
8,4.0,21,0.7411951828396443,0.7411951828396447,0.9945,1.0
9,4.5,21,0.7144189201632435,0.7144189201632435,0.994,1.0
10,5.0,21,0.6917065732282716,0.6917065732282713,0.99,1.0
11,5.5,21,0.6585223276431424,0.6585223276431422,0.9905,1.0
12,6.0,21,0.6308152344453625,0.6308152344453619,0.988,1.0
13,6.5,21,0.6043704369063737,0.6043704369063732,0.987,1.0
14,7.0,21,0.5602277888426764,0.5602277888426769,0.993,1.0
15,7.5,21,0.5325314527641533,0.5325314527641537,0.993,1.0
16,8.0,21,0.5077473250474546,0.5077473250474542,0.9925,1.0
17,8.5,21,0.47565211620744485,0.4756521162074446,0.989,1.0
18,9.0,21,0.4390267689824965,0.4390267689824966,0.988,1.0
19,9.5,21,0.4103405283744279,0.4103405283744277,0.988,1.0
20,10.0,21,0.38032515188306726,0.3803251518830673,0.9905,1.0
21,10.5,21,0.34672388539483284,0.3467238853948328,0.989,1.0
22,11.0,21,0.32420124820337637,0.32420124820337604,0.9855,1.0
23,11.5,21,0.3017586359981251,0.30175863599812497,0.9875,1.0
24,12.0,21,0.27405246135219297,0.2740524613521932,0.9865,1.0
25,12.5,11,0.21026257263148923,0.24295766237383193,0.9875,1.0
26,13.0,11,0.2161124169360772,0.20040683549528213,0.989,1.0
27,13.5,13,0.28041655509223984,0.16758408492605398,0.9885,1.0
28,14.0,13,0.30924530442322845,0.15752064427047538,0.988,1.0
29,14.5,13,0.33535423941428893,0.16867768475475842,0.982,1.0
30,15.0,13,0.3612032174129124,0.19533967534207555,0.983,1.0
31,15.5,13,0.3891275875427535,0.19404711589135137,0.988,1.0
32,16.0,13,0.42252089449863817,0.15317277555888148,0.9895,1.0
33,16.5,13,0.468996561036841,0.10148583657696347,0.989,1.0
34,17.0,13,0.5104294437725101,0.10448224037934516,0.989,1.0
35,17.5,13,0.5489995093931007,0.121175940181293,0.9815,0.9989795918367347
36,18.0,13,0.5748807818930358,0.10414767729505622,0.9845,0.9989837398373984
37,18.5,13,0.5953241325996679,0.07541552842016647,0.9855,1.0
38,19.0,13,0.6141317483776223,0.06299856850008481,0.9865,0.9989847715736041
39,19.5,13,0.6363275755867129,0.05686645013566914,0.991,1.0
40,20.0,13,0.6653032196821071,0.0339830815079269,0.9885,1.0
41,20.5,13,0.689875490379774,0.02474891312768089,0.989,1.0
42,21.0,13,0.6987788874107983,0.028190306595510934,0.9915,1.0
43,21.5,13,0.7087458387897774,0.04794646070883116,0.984,1.0
44,22.0,13,0.7234143212021031,0.05359570276612004,0.985,0.9979695431472081
45,22.5,13,0.7355933089909295,0.052427684026367806,0.985,1.0
46,23.0,13,0.7555740013756734,0.04135308761409832,0.9915,1.0
47,23.5,13,0.7758099835643414,0.01850781479531786,0.992,1.0
48,24.0,13,0.7978653016210879,0.018582915568031558,0.994,1.0
49,24.5,13,0.8143423967488923,0.02301981839984202,0.9955,1.0
50,25.0,13,0.8295976689013619,0.024133335226498825,0.9955,1.0
51,25.5,13,0.8468127394294565,0.018070753120246013,0.9965,1.0
52,26.0,13,0.8637816236798449,0.01718627707320133,0.997,1.0
53,26.5,13,0.8804887279670432,0.01830685307359161,0.997,1.0
54,27.0,13,0.8974420142142683,0.026926542380185086,0.9975,1.0
55,27.5,13,0.9088200739330246,0.037122954382860715,0.9975,1.0
56,28.0,13,0.916520923041921,0.040190240595897014,0.9995,1.0
57,28.5,13,0.9199705096536778,0.04122173627480607,0.9995,1.0
58,29.0,13,0.922193577829444,0.03970743035185636,0.9995,1.0
59,29.5,13,0.92429737791192,0.03652113645193087,0.9995,0.9989994997498749
60,30.0,13,0.9285989909228214,0.03170958991630805,0.9995,1.0
61,30.5,13,0.9326900427774929,0.032809599004830756,1.0,1.0
62,31.0,13,0.9352913126811537,0.033438518457502155,1.0,1.0
63,31.5,13,0.9373141225180384,0.03390741733194662,0.9995,1.0
64,32.0,13,0.9389735911627833,0.03524119480102057,1.0,1.0
65,32.5,13,0.9426058416774186,0.0391508399967131,1.0,1.0
66,33.0,13,0.9458559583352131,0.0387438690223916,1.0,1.0
67,33.5,13,0.9500514719633733,0.034585482609618697,1.0,1.0
68,34.0,13,0.9542296045547485,0.03156806988750059,1.0,1.0
69,34.5,13,0.9562921758108798,0.030412774247010114,1.0,1.0
70,35.0,13,0.9570819014380831,0.033654908542295914,1.0,1.0
71,35.5,13,0.9579956840787859,0.03649509375494651,1.0,1.0
72,36.0,13,0.9587388063254114,0.03272583147980441,1.0,1.0
73,36.5,13,0.9590372813760176,0.03242670852031906,0.9995,1.0
74,37.0,13,0.9590628489239238,0.03109479432155333,0.9995,1.0
75,37.5,13,0.9595256454434442,0.03192990971120868,0.9995,1.0
76,38.0,13,0.959059601085074,0.03011788399771878,1.0,1.0
77,38.5,13,0.9597558396295234,0.02923398905216342,1.0,1.0
78,39.0,13,0.9604308273344825,0.02928566335327936,1.0,1.0
79,39.5,13,0.9608709590533134,0.031054918792551404,1.0,1.0
80,40.0,13,0.9613548345644489,0.027878836035157707,1.0,1.0
81,40.5,13,0.9614203927061065,0.02507920657387189,1.0,1.0
82,41.0,13,0.9614992295572206,0.02778243495431532,1.0,1.0
83,41.5,13,0.961438307467203,0.02661277305744474,1.0,1.0
84,42.0,13,0.9619511970356068,0.02717591129862827,1.0,1.0
85,42.5,13,0.9619401894958083,0.029109038473420744,1.0,1.0
86,43.0,13,0.9611996132870766,0.029667491844944882,1.0,1.0
87,43.5,13,0.9600142546525807,0.03155731352825819,1.0,1.0
88,44.0,13,0.9591691446065325,0.029391038958801876,1.0,1.0
89,44.5,13,0.9579510696086673,0.03201816743949271,1.0,1.0
90,45.0,13,0.9570208507636071,0.02887647274527629,1.0,1.0
91,45.5,13,0.9561744233998615,0.028677171788144898,1.0,1.0
92,46.0,13,0.9557110773115859,0.02713671747348227,1.0,1.0
93,46.5,13,0.955082781878725,0.029218137209962906,1.0,1.0
94,47.0,13,0.95438695901582,0.029697219371066175,1.0,1.0
95,47.5,13,0.9541764617590164,0.03155206443645054,1.0,1.0
96,48.0,13,0.954032569514389,0.031188970440271156,1.0,1.0
97,48.5,13,0.9536544293309096,0.03203683301310536,1.0,1.0
98,49.0,13,0.9532998377572766,0.03366453504479059,1.0,1.0
99,49.5,13,0.953195387090802,0.03286621738718265,1.0,1.0
100,50.0,13,0.9531047294955701,0.031944642766605406,1.0,1.0
101,50.5,13,0.9528379252554726,0.03158451339270897,1.0,1.0
102,51.0,13,0.9527913118522519,0.0300756075867097,1.0,1.0
103,51.5,13,0.9523667106328086,0.030650890556508357,1.0,1.0
104,52.0,13,0.9525304443215944,0.03115760935752667,1.0,1.0
105,52.5,13,0.9530046204265895,0.029584612385061753,1.0,1.0
106,53.0,13,0.9532851485521959,0.027586248167989207,1.0,1.0
107,53.5,13,0.953043386576058,0.02877304991055547,1.0,1.0
108,54.0,13,0.9532246167705423,0.028250405032034354,1.0,1.0
109,54.5,13,0.9535435942759649,0.0293793626091542,1.0,1.0
110,55.0,13,0.9533518014655401,0.027007595702625613,1.0,1.0
111,55.5,13,0.9524370329079729,0.027668971964571114,1.0,1.0
112,56.0,13,0.9519415496303758,0.03007303770035247,1.0,1.0
113,56.5,13,0.9523200799853019,0.03158512750641085,1.0,1.0
114,57.0,13,0.9528316652407137,0.03123656836101784,1.0,1.0
115,57.5,13,0.9529577500536288,0.03271751463051716,1.0,1.0
116,58.0,13,0.9529581778286175,0.03396349499146684,1.0,1.0
117,58.5,13,0.9533688594806323,0.030988335624057242,1.0,1.0
118,59.0,13,0.9537866092031891,0.03149120511076692,1.0,1.0
