strength_k,one_sided_k_star,one_sided_lambda_star,growth_coefficient,bare_turning_length_v_over_k,bulk_mode_D3.30,bulk_mode_D4.58
8.0,5.292991153659705,1.1870764799663867,0.44811330853885034,0.375,9,12
12.0,5.043657165574092,1.2457597931251154,0.5871964241927631,0.25,8,12
20.75,5.0946709929121115,1.2332857835022082,1.2245369510329223,0.14457831325301204,8,12
40.0,5.123384172410507,1.2263740324246275,2.5620344730825435,0.075,8,12
