strength_k,diameter,seed,coarse_dt,coarse_steps,fine_dt,fine_steps,physical_time,coarse_lattice_formed,fine_lattice_formed,coarse_fourier_mode_terminal,fine_fourier_mode_terminal,coarse_temporal_mode_median,fine_temporal_mode_median,coarse_fourier_amplitude_terminal,fine_fourier_amplitude_terminal,coarse_temporal_amplitude_median,fine_temporal_amplitude_median,coarse_temporal_mode_stability,fine_temporal_mode_stability,coarse_shell_particle_fraction,fine_shell_particle_fraction,coarse_effective_wavenumber,fine_effective_wavenumber,coarse_effective_arc_spacing,fine_effective_arc_spacing,coarse_actual_chord_mean,fine_actual_chord_mean,coarse_wall_distance_of_clusters,fine_wall_distance_of_clusters,mode_match,relative_change_effective_wavenumber,relative_change_effective_arc_spacing,relative_change_actual_chord_mean,relative_change_wall_distance_of_clusters
40.0,3.3,9,0.005,50000,0.0025,100000,250.0,True,True,10,10,10,10,0.9985833973465924,0.9982532050588129,0.9985767118519894,0.998380622127858,1.0,1.0,1.0,0.994,6.15260351902257,6.15260621836278,1.021223826263676,1.0212233782209377,1.004539023628644,1.0045188546992516,0.0246718004691703,0.024672513551335484,True,4.387313763475768e-07,-4.387311838217256e-07,-2.0077795802823356e-05,2.890272098604434e-05
40.0,4.58,9,0.005,50000,0.0025,100000,250.0,True,True,14,14,14,14,0.9975687759944264,0.9988617805877259,0.9975390104113704,0.9984419688101995,1.0,1.0,0.9945,0.9865,6.182969086290244,6.1831328494420505,1.0162084298806469,1.0161815151273297,1.007703789592049,1.0076781642759975,0.0257156724197789,0.025775643044234187,True,2.6486167005015052e-05,-2.648546550665451e-05,-2.5429413202783865e-05,0.002332065188743028
