strength_k,diameter,realizations,lattice_formed_count,lattice_formed_rate,formed_modes,observed_mode_median,observed_mode_min,observed_mode_max,effective_wavenumber_median,effective_wavenumber_min,effective_wavenumber_max,effective_arc_spacing_median,effective_arc_spacing_min,effective_arc_spacing_max,geometric_chord_spacing_median,geometric_chord_spacing_min,geometric_chord_spacing_max,actual_chord_mean_median,actual_chord_mean_min,actual_chord_mean_max,wall_distance_of_clusters_median,wall_distance_of_clusters_min,wall_distance_of_clusters_max,fourier_locking_time_10_frames_median,fourier_locking_time_10_frames_min,fourier_locking_time_10_frames_max,fourier_amplitude_terminal_median,fourier_amplitude_terminal_min,fourier_amplitude_terminal_max
8.0,3.3,3,3,1.0,"9,9,9",9.0,9.0,9.0,5.9245364262731774,5.916006191776774,5.936398267792427,1.060536193062453,1.0584170777874915,1.0620653703698264,1.0391298385069918,1.0370534964379012,1.0406281501901327,1.0391893519396918,1.03708779420526,1.0406635501222117,0.1308938029162494,0.12870341777025773,0.1339292119551747,125.0,100.0,155.0,0.984165772736401,0.9828516441069434,0.9848520730252135
8.0,4.58,3,1,0.3333333333333333,13,13.0,13.0,13.0,6.003570520145843,6.003570520145843,6.003570520145843,1.0465747484926606,1.0465747484926606,1.0465747484926606,1.0364177868148616,1.0364177868148616,1.0364177868148616,1.0364176092835176,1.0364176092835176,1.0364176092835176,0.1246219210090671,0.1246219210090671,0.1246219210090671,155.0,155.0,155.0,0.9665618585029904,0.9665618585029904,0.9665618585029904
12.0,3.3,3,2,0.6666666666666666,"9,9",9.0,9.0,9.0,5.805232078159894,5.804239235479316,5.806224920840472,1.0823314910353425,1.0821463847580455,1.0825165973126396,1.0604852100736901,1.0603038400673739,1.0606665800800064,1.0604612509861244,1.0602467407395748,1.060675761232674,0.09967433823933425,0.09940919302807183,0.09993948345059667,83.75,70.0,97.5,0.9739400754187328,0.9650090305529209,0.9828711202845449
12.0,4.58,3,2,0.6666666666666666,"13,13",13.0,13.0,13.0,5.947940835243417,5.9467019366074,5.949179733879433,1.0563631605991959,1.0561431303542665,1.0565831908441254,1.0461112028145294,1.0458933079534023,1.0463290976756567,1.0461046828789042,1.0458746550247826,1.0463347107330259,0.10436955677598347,0.10391431106155036,0.10482480249041659,127.5,122.5,132.5,0.9838226935696357,0.9807386872038033,0.9869066999354681
20.75,3.3,3,2,0.6666666666666666,"10,10",10.0,10.0,10.0,6.226278224279561,6.223595623811351,6.228960824747772,1.0091400106478097,1.0087052212973275,1.0095747999982916,0.9926220467747713,0.9921943742115615,0.9930497193379809,0.9926334797155066,0.9922231603046244,0.9930437991263888,0.04390379033593195,0.04321180159260285,0.044595779079261044,58.75,55.0,62.5,0.9943335650454712,0.9932943567111603,0.995372773379782
20.75,4.58,3,1,0.3333333333333333,14,14.0,14.0,14.0,6.239213048490318,6.239213048490318,6.239213048490318,1.0070477251453864,1.0070477251453864,1.0070477251453864,0.9986173099641785,0.9986173099641785,0.9986173099641785,0.9986138772662556,0.9986138772662556,0.9986138772662556,0.04612727259128713,0.04612727259128713,0.04612727259128713,147.5,147.5,147.5,0.9860193709761429,0.9860193709761429,0.9860193709761429
40.0,3.3,3,3,1.0,"10,10,10",10.0,10.0,10.0,6.15260351902257,6.15133915569714,6.154592306933677,1.021223826263676,1.0208938291657497,1.0214337314437192,1.0045080701837235,1.0041834745960776,1.0047145395608612,1.004539023628644,1.004196314054118,1.0048321043250603,0.02467180046917039,0.0243377259993256,0.025197007162579776,40.0,32.5,42.5,0.9984407025413911,0.9984103149963816,0.9985833973465924
40.0,4.58,3,3,1.0,"14,14,14",14.0,14.0,14.0,6.184091155646587,6.182969086290244,6.185212079842938,1.016024044445483,1.0158399139870942,1.0162084298806469,1.0075184847635634,1.007335895737793,1.0077013266315922,1.0075159839312204,1.0073358897668618,1.007703789592049,0.02612651436794522,0.0257156724197789,0.0265367881847145,50.0,47.5,50.0,0.9963453508820732,0.9961529404594752,0.9975687759944263
