strength_k,diameter,seed,fourier_mode_terminal,fourier_amplitude_terminal,peak_count_terminal,dbscan_count_terminal,observed_mode,temporal_mode_median,temporal_mode_stability,temporal_amplitude_median,shell_particle_fraction,lattice_formed,heading_handedness_terminal,heading_direction_sign_terminal,wall_radius,cluster_radius_mean,cluster_radius_std,wall_distance_of_clusters,fourier_locking_time_10_frames,fourier_lock_persistent_to_end,effective_wavenumber,effective_arc_spacing,geometric_chord_spacing,actual_chord_mean,actual_chord_std,bare_turning_length_v_over_k,source_file
12.0,4.58,10,3,0.16636134875563674,1,1,1,3,0.7,0.2553243599351329,0.008,False,0.890495867768595,-1.0,2.29,,,1.8485914637250525,,False,2.2654749915781265,2.7734516295863982,1.0811391021308658e-16,,,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
12.0,4.58,11,13,0.9807386872038033,13,13,13,13,1.0,0.9798288265656023,1.0,True,1.0,1.0,2.29,2.1851751975095834,0.00986752584764209,0.10482480249041659,122.5,True,5.949179733879433,1.0561431303542665,1.0458933079534023,1.0458746550247826,0.0075848505982658845,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
20.75,3.3,9,10,0.9932943567111603,10,10,10,10,1.0,0.992423203372673,1.0,True,1.0,1.0,1.65,1.606788198407397,0.003701621059622871,0.04321180159260285,62.5,True,6.223595623811351,1.0095747999982916,0.9930497193379809,0.9930437991263888,0.01314817484848587,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
20.75,3.3,10,6,0.20819995717733597,5,0,6,3,0.65,0.19001044583056834,0.073,False,0.7664233576642335,-1.0,1.65,,,0.13347154751333523,,False,3.95640450409074,1.588104881764001,1.5165284524866645,,,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
20.75,3.3,11,10,0.995372773379782,10,10,10,10,1.0,0.9954825580279391,0.9995,True,1.0,1.0,1.65,1.6054042209207389,0.005524489082075696,0.044595779079261044,55.0,True,6.228960824747772,1.0087052212973275,0.9921943742115615,0.9922231603046244,0.010441841725263737,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
20.75,4.58,9,14,0.9440415810067428,14,14,14,14,0.85,0.9347161165480621,0.995,False,1.0,1.0,2.29,2.2419131744987673,0.004526246063569905,0.04808682550123278,225.0,True,6.244666456866703,1.0061682798559286,0.9977452268768626,0.9976788659114552,0.04283213223096033,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
20.75,4.58,10,14,0.9860193709761429,14,14,14,14,1.0,0.9869111582049848,1.0,True,1.0,1.0,2.29,2.243872727408713,0.00478332784779103,0.04612727259128713,147.5,True,6.239213048490318,1.0070477251453864,0.9986173099641785,0.9986138772662556,0.021207181178506174,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
20.75,4.58,11,13,0.18343438586751887,12,0,13,6,0.0,0.2369378541843873,0.044,False,0.4939759036144578,-1.0,2.29,,,0.14578588055319042,,False,6.062827346437723,1.0363457423657854,1.0262880527403477,,,0.14457831325301204,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
40.0,3.3,9,10,0.9985833973465924,10,10,10,10,1.0,0.9985767118519894,1.0,True,1.0,1.0,1.65,1.6253281995308295,0.005263137545064765,0.02467180046917039,32.5,True,6.15260351902257,1.021223826263676,1.0045080701837235,1.004539023628644,0.005811604932703438,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
40.0,3.3,10,10,0.9984103149963816,10,10,10,10,1.0,0.9984077884105573,1.0,True,1.0,1.0,1.65,1.6256622740006743,0.008888126116365002,0.0243377259993256,40.0,True,6.15133915569714,1.0214337314437192,1.0047145395608612,1.0048321043250603,0.0095124316375392,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
40.0,3.3,11,10,0.9984407025413911,10,10,10,10,1.0,0.9983569187979164,0.9995,True,1.0,1.0,1.65,1.6248029928374201,0.003724206986006175,0.025197007162579776,42.5,True,6.154592306933677,1.0208938291657497,1.0041834745960776,1.004196314054118,0.004950729868395916,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
40.0,4.58,9,14,0.9975687759944263,14,14,14,14,1.0,0.9975390104113704,0.9945,True,1.0,1.0,2.29,2.264284327580221,0.003936595649409576,0.0257156724197789,47.5,True,6.182969086290244,1.0162084298806469,1.0077013266315922,1.007703789592049,0.003781762571671853,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
40.0,4.58,10,14,0.9961529404594752,14,14,14,14,1.0,0.9960622301590458,0.9965,True,1.0,1.0,2.29,2.2634632118152855,0.0051773522643443195,0.0265367881847145,50.0,True,6.185212079842938,1.0158399139870942,1.007335895737793,1.0073358897668618,0.005227585383449088,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
40.0,4.58,11,14,0.9963453508820732,14,14,14,14,1.0,0.996194552999122,0.9965,True,1.0,1.0,2.29,2.263873485632055,0.004231731550361003,0.02612651436794522,50.0,True,6.184091155646587,1.016024044445483,1.0075184847635634,1.0075159839312204,0.004503082072174078,0.075,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
