seed,family,frames_in_terminal_window,iteration_start,iteration_end,mean_particle_count,mean_tangential_projection,mean_relative_phase_rad,lattice_cluster_count,cluster_count_stability_fraction,fourier_peak_mode,fourier_peak_amplitude,fourier_peak_frame_stability_fraction,fourier_amplitude_at_lattice_count,mean_effective_radius,arc_spacing_at_wall_2piR_over_m,arc_spacing_at_effective_radius,geometric_chord_at_effective_radius,centroid_chord_mean,centroid_chord_std,centroid_wall_arc_mean,centroid_wall_arc_std,terminal_gap_clusters_eps0.25,terminal_gap_clusters_eps0.30,terminal_gap_clusters_eps0.35,terminal_gap_clusters_eps0.40,terminal_gap_clusters_eps0.45
1,CCW,295,35300,50000,936.0271186440676,0.9951573254765264,1.57060959567042,16,1.0,16,0.6710313504241683,1.0,0.6710313504241683,3.4844888887919128,1.3744467859455345,1.3683555868179915,1.3595801187520704,1.3588294943871475,0.0691868284740341,1.3744467859455345,0.0709378844008061,16,16,16,16,16
1,CW,295,35300,50000,931.342372881356,-0.994933503850552,-1.5700284766123227,16,1.0,16,0.6387470254337081,1.0,0.6387470254337081,3.484517202379944,1.3744467859455345,1.368366705538011,1.359591166166083,1.3588584662621748,0.0802319619724612,1.3744467859455345,0.0820073154736545,16,16,16,16,16
9,CCW,295,35300,50000,931.5661016949152,0.9952684182565886,1.5703525680014063,16,1.0,16,0.7367318387487661,1.0,0.7367318387487661,3.4850405891564544,1.3744467859455345,1.3685722390445203,1.35979538155562,1.35907042500497,0.0712076954913223,1.3744467859455345,0.0729691896464876,16,16,16,16,16
9,CW,295,35300,50000,949.6,-0.9959243475213144,-1.5705236541677772,16,1.0,16,0.6582297067486039,1.0,0.6582297067486039,3.486322592050864,1.3744467859455345,1.36907568040389,1.360295594270612,1.3595857282071322,0.0775223552153449,1.3744467859455345,0.079729418130625,16,16,16,16,16
17,CCW,295,35300,50000,941.8779661016948,0.9954309949058404,1.570319908091656,16,1.0,16,0.7728098302826627,1.0,0.7728098302826627,3.484689687266419,1.3744467859455345,1.368434440194537,1.359658466430174,1.3590001202582684,0.0620774480941601,1.3744467859455345,0.0637816164891535,16,16,16,16,16
17,CW,295,35300,50000,931.0915254237289,-0.9951995245596568,-1.5703684215271247,16,1.0,15,0.5316269783419006,1.0,0.2143009178460624,3.484687422650106,1.3744467859455345,1.3684335508817904,1.3596575828207225,1.3586058687380227,0.1257728115518456,1.3744467859455345,0.1294642632374243,16,16,16,16,16
