diameter,coupling,m,n_radial_low,n_radial_high,stable_mode_count,max_converged_real,selected_imag,selected_resolution_shift,max_raw_real_high,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,24,32,37,0.0046292272775313925,0.0008273703040838196,0.0029551454122385616,0.0021217405709892632,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,9,24,32,36,0.0042268139540683845,0.0005055074359809939,0.0029121752856964976,0.001769049338318156,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,10,24,32,36,0.005280178336659773,0.0019477950814464752,0.0034482541247855356,0.0023990166018497336,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,11,24,32,35,0.004538223099859992,0.0038157824000644353,0.004586023674615088,0.0020739490045481057,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
