diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall,matched_real_high,matched_imag_high,resolution_shift,n_radial_high
3.3,20.75,8,24,8,-0.1854050531946296,-261.61498060096835,261.615046298715,5.824656413395222e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,9.348612836201112e-21,-226.16294305879393,35.45252234927008,32
3.3,20.75,8,24,8,0.18540505319462414,-261.6149806009697,261.6150462987164,5.656311002916955e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,9.348612836201112e-21,-226.16294305879393,35.45252234927145,32
3.3,20.75,8,24,8,5.495044119815767e-16,254.56760386379062,254.56760386379062,1.216892627158677e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,8.885577440351505e-21,193.44765796957986,61.11994589421076,32
3.3,20.75,8,24,8,2.362123894010838e-17,182.58985242890185,182.58985242890185,2.969228149502196e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-4.576605757744386e-19,182.70643292301781,0.11658049411596494,32
3.3,20.75,8,24,8,-1.79727537334224e-18,-137.42754319495796,137.42754319495796,1.3535170469102914e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.903377973069436e-19,-131.2603883399033,6.167154855054662,32
3.3,20.75,8,24,8,-3.3164624767250693e-16,-123.92970346310791,123.92970346310791,9.17400227344121e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.903377973069436e-19,-131.2603883399033,7.330684876795388,32
3.3,20.75,8,24,8,2.6812101447565504e-15,120.3916292507343,120.3916292507343,1.1031585090720766e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.7583159970200574e-19,129.67459845958072,9.282969208846424,32
3.3,20.75,8,24,8,1.7761681767303742e-17,110.62309332394841,110.62309332394841,1.8318567265139726e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.041861864267088e-18,109.2886510491651,1.3344422747833136,32
3.3,20.75,8,24,8,-1.0821380539707905e-17,-89.3628843804838,89.3628843804838,6.792551297539207e-18,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,9.218763659402137e-19,-86.87450832598218,2.4883760545016287,32
3.3,20.75,8,24,8,-5.887359358106092e-16,-75.26938224241096,75.26938224241096,8.219066213826632e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.7403070717433695e-18,-73.00077277326197,2.268609469148984,32
3.3,20.75,8,24,8,1.7095231282029745e-17,78.8550999481803,78.8550999481803,3.9247503370309323e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.2792260711132991e-18,78.97630764888038,0.12120770070008291,32
3.3,20.75,8,24,8,-4.52448945079534e-16,75.18773784434538,75.18773784434538,5.869417027750903e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.013883671825723e-18,72.25338450942361,2.9343533349217665,32
3.3,20.75,8,24,8,-4.313542830546292e-17,-67.98439557782649,67.98439557782649,1.9407580838521787e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.6144933293372634e-19,-66.73478761248272,1.2496079653437704,32
3.3,20.75,8,24,8,8.611978522564336e-18,-60.988702110557206,60.988702110557206,7.869385075042389e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.8408458261428498e-18,-60.83683998877015,0.1518621217870546,32
3.3,20.75,8,24,8,-1.3779320189537828e-18,64.49198298706933,64.49198298706933,2.154742841665502e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,3.632887550890693e-19,66.02861322921719,1.5366302421478508,32
