alpha_over_pi,diameter,seed,fourier_mode_terminal,fourier_amplitude_terminal,peak_count_terminal,dbscan_count_terminal,observed_mode,temporal_mode_median,temporal_mode_stability,temporal_amplitude_median,shell_particle_fraction,lattice_formed,heading_handedness_terminal,heading_direction_sign_terminal,observed_wavenumber,observed_spacing,wall_distance_median,wall_distance_p90,source_file,spectral_quantized_mode,spectral_quantized_wavenumber,spectral_quantized_score,mode_residual_observed_minus_spectral
0.5,4.5,11,5,0.1715421277236944,10,0,5,4,0.05,0.190268758728672,0.1065,False,0.5643564356435643,1.0,2.2222222222222223,2.827433388230814,0.774839199377767,1.161933992653942,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=4.5,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",11,4.888888888888889,1.196263709683645,-6
0.5,5.0,9,15,0.9961948224549179,15,15,15,15,1.0,0.9958700623454524,0.997,True,1.0,1.0,6.0,1.0471975511965976,0.05120813240222555,0.09488562868834967,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\small_circular_alpha_sweep\N2000_steps50000\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",13,5.2,1.2176064184501993,2
0.5,5.0,10,15,0.9946753324753441,15,15,15,15,1.0,0.9941978183162121,0.7695,True,1.0,1.0,6.0,1.0471975511965976,0.061134595502498223,2.0822044476391013,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",13,5.2,1.2176064184501993,2
0.5,5.0,11,3,0.2833454253496292,2,3,3,5,0.1,0.15393723001508675,0.303,False,0.22635135135135134,1.0,1.2,5.235987755982989,0.40057214651998074,0.9265090940928076,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",13,5.2,1.2176064184501993,-10
0.501,3.0,9,9,0.9624928592996734,9,9,9,9,1.0,0.9623693151615853,1.0,True,1.0,1.0,6.0,1.0471975511965976,0.047306778544893735,0.09162431860712641,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.574,L=3.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",8,5.333333333333333,0.0037387453199962434,1
0.501,3.0,10,5,0.3458816077723392,4,1,5,4,0.05,0.23699346267260432,0.0535,False,0.8383838383838383,-1.0,3.3333333333333335,1.8849555921538759,0.9624746023066503,1.2616693918787438,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.574,L=3.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",8,5.333333333333333,0.0037387453199962434,-3
0.501,5.0,9,15,0.9929443409604375,15,15,15,15,1.0,0.9942947755807485,0.981,True,0.9979602243753187,1.0,6.0,1.0471975511965976,0.060156858428461746,0.10841446160160682,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.574,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",13,5.2,0.003825212909552588,2
0.501,5.0,10,15,0.9953434181259023,15,15,15,15,1.0,0.9951536693122445,0.7635,True,1.0,1.0,6.0,1.0471975511965976,0.07377293026550014,1.9673927880338633,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.574,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",13,5.2,0.003825212909552588,2
0.51,3.0,9,9,0.9484392521618702,9,9,9,9,1.0,0.9490444339624158,0.9995,True,0.9989914271306102,1.0,6.0,1.0471975511965976,0.08964940942483834,0.14897122956511985,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.602,L=3.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",8,5.333333333333333,0.037377130867952246,1
0.51,3.0,10,8,0.9770319900511077,8,8,8,8,1.0,0.9758725596081632,0.999,True,1.0,1.0,5.333333333333333,1.1780972450961724,0.1058267815893772,0.17048333663353257,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.602,L=3.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",8,5.333333333333333,0.037377130867952246,0
0.51,5.0,9,15,0.930841185262013,15,15,15,15,1.0,0.9392916748421722,0.8815,True,1.0,1.0,6.0,1.0471975511965976,0.12294351710085372,1.9013526104202783,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.602,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",13,5.2,0.03824176292389225,2
0.51,5.0,10,14,0.9619200604810175,14,14,14,14,1.0,0.9609554027383563,0.7125,True,1.0,1.0,5.6,1.121997376282069,0.15910589398357233,2.2306122680254443,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\critical_boundary_lattice_quantization\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.602,L=5.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",13,5.2,0.03824176292389225,1
