alpha_over_pi,regime,xi_persist,xi_sign,block_count,active_block_count,maximum_contiguous_extent,extent_valid,total_saved_frames,terminal_saved_frame,terminal_iteration,analysis_window_time,source_hdf5,group,condition,condition_label,model_class,defect_height,defect_half_width,gate_count,calibrated_gate_count,calibration_trial_count,calibration_success_count,calibration_agreement,phase_rhs_validation_error
0.0,Independent_Zero_Endpoint,,,0,0,,False,5001,5000,50000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,0,0,0,0,,
0.2,Chiral_No_Pattern_Prior,0.981203007518797,0.07369093231162197,266,261,27.5,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,3229,3229,1.0,
0.4,Chiral_No_Pattern_Prior,1.0,0.9788494317048747,266,266,28.0,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,93680,93674,0.999935952177626,
0.6,Pattern_Supported_Prior,1.0,1.0,266,266,28.0,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,53255,53040,0.9959628203924514,
0.8,Pattern_Supported_Prior,1.0,1.0,266,266,28.0,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,81557,81366,0.9976580796252927,
1.0,Independent_Pi_Endpoint,,,0,0,,False,5001,5000,50000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,0,0,0,0,,
0.0,Independent_Zero_Endpoint,,,0,0,,False,8001,8000,80000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,0,0,0,0,,
0.2,Chiral_No_Pattern_Prior,0.901840490797546,0.05551612698713807,326,294,34.24621125123532,True,8001,8000,80000,114.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,80,80,5841,5841,1.0,
0.4,Chiral_No_Pattern_Prior,1.0,0.47746113348187064,326,326,34.24621125123532,True,8001,8000,80000,114.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,80,80,89433,89346,0.9990272047230888,
0.6,Pattern_Supported_Prior,1.0,1.0,326,326,34.24621125123532,True,8001,8000,80000,114.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,80,80,79129,78667,0.9941614325974042,
0.8,Pattern_Supported_Prior,1.0,0.999815931301091,326,326,34.24621125123532,True,8001,8000,80000,114.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,80,80,109151,108847,0.9972148674771647,
1.0,Independent_Pi_Endpoint,,,0,0,,False,8001,8000,80000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",CollisionBoundaryFourSpikePatternFormation,1.0,0.25,0,0,0,0,,
