condition,condition_label,alpha_over_pi,minimum_supported_frame_pairs,xi_persist,xi_sign
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.4,2,1.0,0.5120125245450841
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.4,3,1.0,0.5405271486541916
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.5,1,1.0,0.15312433768283096
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.5,2,1.0,0.16030086557953674
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.5,3,1.0,0.1685672143163576
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.6,1,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.6,2,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.6,3,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.7,1,1.0,0.9996682379866914
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.7,2,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.7,3,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.8,1,1.0,0.9998194588169501
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.8,2,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.8,3,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.9,1,1.0,0.9999154347138457
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.9,2,1.0,1.0
Square_Four_Symmetric_Defects_H1,"Square, four symmetric defects (H = 1)",0.9,3,1.0,1.0
