alpha_over_pi,defect_height,majority_direction,direction_fixedness,current_strength,temporal_uniformity,spatial_coverage,signed_mean_block_current,directed_current,stability_core,handedness_gated_stability,active_blocks,accepted_particle_frames,adaptive_edge_width_over_L,terminal_saved_frame,hdf5_file,geometry_group,model_label,condition
0.4,0.0,CCW,1.0,0.9733511615629036,0.9998838312576765,0.9653703525509276,0.9733511615629036,0.9733511615629036,0.979424622924015,0.979424622924015,20,340910,0.0375,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square,Square - no defect
0.6,0.0,CCW,1.0,0.828129748470408,0.991046898458167,0.9598061496971209,0.828129748470408,0.828129748470408,0.923546372716757,0.923546372716757,20,2686,0.046875,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square,Square - no defect
0.8,0.0,CCW,1.0,0.9144216946491065,0.9996590467278562,0.9374402987328391,0.9144216946491065,0.9144216946491065,0.9498332028808518,0.9498332028808518,20,19084,0.05625000000000001,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square,Square - no defect
1.0,0.0,CCW,0.5963873508470658,0.018996859310244245,0.6620028257181614,0.8775867798637885,0.01132948659845099,0.01132948659845099,0.22264378369917387,0.13278193634291743,20,108074,0.140625,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square,Square - no defect
0.0,1.0,CW,0.06305369524244463,0.5558806082702502,0.5896000527180195,0.07821699983162622,-0.035050326465057104,0.035050326465057104,0.2948583270639905,0.01859190709438992,13,76357,0.15,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
0.2,1.0,CW,0.6684251419671503,0.6031820421685461,0.63069320597864,0.16871624467636273,-0.40318204216854603,0.40318204216854603,0.4003819453837638,0.26762535868422616,13,90945,0.09375,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
0.4,1.0,CCW,1.0,0.9001172164542952,0.9918654044681932,0.7627087405492938,0.9001172164542952,0.9001172164542952,0.8797720858019411,0.8797720858019411,20,115609,0.046875,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
0.6,1.0,CCW,1.0,0.8048998568957251,0.9874305540338314,0.9643238295928619,0.8048998568957251,0.8048998568957251,0.9151461075089612,0.9151461075089612,20,4296,0.0375,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
0.8,1.0,CCW,1.0,0.8775663633934864,0.9979809948086618,0.796608185643535,0.8775663633934864,0.8775663633934864,0.8869156836068106,0.8869156836068106,20,10500,0.046875,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
1.0,1.0,CW,0.03958248630752427,0.027979806792600547,0.6862912301622027,0.8657914216760396,-0.0011075103192552862,0.0011075103192552862,0.2552243734435984,0.010102415267177693,20,55187,0.075,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1
0.0,1.5,CCW,0.5555555555555556,0.45,0.45,0.1370667424073155,0.25,0.25,0.3027743215185842,0.16820795639921343,9,88064,0.09375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
0.2,1.5,CCW,0.6648833780296711,0.5203469367252451,0.5813705918747193,0.1515963708904085,0.3459700290372725,0.3459700290372725,0.35794114431535623,0.23798911716820007,12,52149,0.028125000000000004,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
0.4,1.5,CCW,1.0,0.9388978078664761,0.9989423494912725,0.7201925062238028,0.9388978078664761,0.9388978078664761,0.8774097365826413,0.8774097365826413,20,113088,0.0375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
0.6,1.5,CCW,1.0,0.7121978199190365,0.9608542518360282,0.875771521403777,0.7121978199190365,0.7121978199190365,0.8431075755824756,0.8431075755824756,20,1520,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
0.8,1.5,CCW,1.0,0.8294406518332862,0.9965282374317809,0.8082791222958842,0.8294406518332862,0.8294406518332862,0.8742026039490942,0.8742026039490942,20,9237,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
1.0,1.5,CW,0.780910620878988,0.054584155062428606,0.41996458055503905,0.8884887333618341,-0.04262534641995609,0.04262534641995609,0.2730928901690888,0.2132611384195804,20,16163,0.0375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=1.5
0.0,3.0,CCW,0.44901997418345685,0.7710241182989995,0.8093842043643663,0.21562406504570888,0.34620522969343936,0.34620522969343936,0.5124364010981821,0.23009417959176928,18,107118,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
0.2,3.0,CCW,0.13604768324895747,0.8236220340193816,0.8577924340362922,0.048043227914281575,0.1120518696011309,0.1120518696011309,0.32377808416498566,0.04404925823743226,19,92744,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
0.4,3.0,CCW,1.0,0.9244218531452508,0.9988776618402462,0.7912076083414853,0.9244218531452508,0.9244218531452508,0.9006533176599398,0.9006533176599398,20,157498,0.0375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
0.6,3.0,CCW,1.0,0.754934322266263,0.946707988087476,0.8201550378634744,0.754934322266263,0.754934322266263,0.8369002990097736,0.8369002990097736,20,2825,0.046875,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
0.8,3.0,CCW,1.0,0.7894810507630019,0.9933075876505555,0.8751325840523057,0.7894810507630019,0.7894810507630019,0.8820633402681752,0.8820633402681752,20,5835,0.075,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
1.0,3.0,CCW,0.15534219891117926,0.11289790794328836,0.6671005609747933,0.8129319995757673,0.017537809272382306,0.017537809272382306,0.39413391422770316,0.06122562890160153,20,9694,0.028125000000000004,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,square_defect,Square - four defects H=3
