v,omega,rho0,d0,lam,K_effective,alpha_over_pi,bands,C_pole,status,reason,min_relative_gap,finite_k_max,globally_proven
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,1,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+1,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,1+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+1+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999150479195,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999150479195,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.43398902353811286,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.43398902353811286,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.3039941893925975,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.3039941893925975,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.22197286683400735,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.22197286683400735,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.09891938325005714,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.09891938325005714,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,7.400174798887031e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,7.400174798887031e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.0887113692522019,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.0887113692522019,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591807,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591807,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.3579253580302246,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.3579253580302246,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.42982492677077255,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298249267707724,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298249267707724,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298249267707724,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298249267707724,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.42982492677077255,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955246,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955246,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955257,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955257,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955246,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.47582951708955246,301.70600183521435,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.2500075,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49774555562329265,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977455556232925,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977455556232925,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977455556232925,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977455556232925,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49774555562329265,338.5032050479803,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.29167375,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50864024320396,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.33334,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.19180642338887,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.37500625000000004,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,412.13037620633537,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.41667250000000006,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5000000000000002,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5000000000000002,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.017421819426,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.45833875,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999997,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999997,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999997,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999997,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,426.66666661402877,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.500005,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,423.01567224694844,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5416712499999999,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999999999999,412.12690699645276,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.5833375,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5000000000000001,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5000000000000001,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,394.1866769340585,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.62500375,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.49999999999999983,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.5,369.50193823965765,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.66667,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245678,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245678,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245679,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245679,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245678,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4977431009245678,338.4950452010668,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.70833625,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410071,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410068,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410068,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410068,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410068,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4758213876410071,301.6965237593881,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.7500025,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.79166875,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298110551970029,259.7359942443572,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.79166875,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298110551970029,259.7359942443572,False
